date,day_of_week,school_visitors,public_visitors,total_visitors,extra,opening_hours
2017-05-07,neděle,0.0,1004.0,1004.0,,
2017-05-08,pondělí,0.0,811.0,811.0,,
2017-05-09,úterý,249.0,261.0,510.0,,
2017-05-10,středa,205.0,256.0,461.0,,
2017-05-11,čtvrtek,309.0,74.0,383.0,,
2017-05-12,pátek,94.0,96.0,190.0,,
2017-05-13,sobota,0.0,588.0,588.0,,
2017-05-14,neděle,0.0,398.0,398.0,,
2017-05-15,pondělí,254.0,91.0,345.0,,
2017-05-16,úterý,635.0,177.0,812.0,,
2017-05-17,středa,246.0,387.0,633.0,,
2017-05-18,čtvrtek,308.0,113.0,421.0,,
2017-05-19,pátek,397.0,111.0,508.0,,
2017-05-20,sobota,0.0,638.0,638.0,,
2017-05-21,neděle,0.0,284.0,284.0,,
2017-05-22,pondělí,338.0,83.0,421.0,,
2017-05-23,úterý,798.0,257.0,1055.0,,
2017-05-24,středa,217.0,319.0,536.0,,
2017-05-25,čtvrtek,536.0,259.0,795.0,,
2017-05-26,pátek,298.0,173.0,471.0,,
2017-05-27,sobota,20.0,544.0,564.0,,
2017-05-28,neděle,0.0,163.0,163.0,,
2017-05-29,pondělí,131.0,108.0,239.0,,
2017-05-30,úterý,571.0,113.0,684.0,,
2017-05-31,středa,271.0,112.0,383.0,,
2017-06-01,čtvrtek,473.0,187.0,660.0,,
2017-06-02,pátek,143.0,94.0,237.0,,
2017-06-03,sobota,0.0,288.0,288.0,,
2017-06-04,neděle,0.0,709.0,709.0,,
2017-06-05,pondělí,415.0,189.0,604.0,,
2017-06-06,úterý,609.0,263.0,872.0,,
2017-06-07,středa,417.0,187.0,604.0,,
2017-06-08,čtvrtek,697.0,197.0,894.0,,
2017-06-09,pátek,266.0,108.0,374.0,,
2017-06-10,sobota,0.0,412.0,412.0,,
2017-06-11,neděle,0.0,110.0,110.0,,
2017-06-12,pondělí,401.0,154.0,555.0,,
2017-06-13,úterý,585.0,168.0,753.0,,
2017-06-14,středa,446.0,231.0,677.0,,
2017-06-15,čtvrtek,448.0,204.0,652.0,,
2017-06-16,pátek,127.0,107.0,234.0,,
