iter	Passed	Remaining
1559	20607	5812
1560	20619	5798
1561	20632	5785
1562	20644	5771
1563	20655	5758
1564	20667	5744
1565	20681	5731
1566	20693	5718
1567	20704	5704
1568	20717	5690
1569	20730	5677
1570	20746	5665
1571	20757	5651
1572	20769	5638
1573	20782	5624
1574	20795	5611
1575	20807	5597
1576	20819	5584
1577	20837	5572
1578	20853	5560
1579	20868	5547
1580	20884	5534
1581	20898	5521
1582	20912	5508
1583	20927	5496
1584	20936	5481
1585	20952	5469
1586	20968	5456
1587	20983	5444
1588	20998	5431
1589	21013	5418
1590	21025	5405
1591	21039	5392
1592	21051	5378
1593	21064	5365
1594	21076	5351
1595	21088	5338
1596	21099	5324
1597	21111	5310
1598	21122	5297
1599	21134	5283
1600	21148	5270
1601	21160	5257
1602	21176	5244
1603	21189	5231
1604	21201	5217
1605	21213	5204
1606	21225	5190
1607	21236	5177
1608	21247	5163
1609	21260	5149
1610	21271	5136
1611	21283	5122
1612	21294	5108
1613	21306	5095
1614	21319	5082
1615	21330	5068
1616	21342	5055
1617	21353	5041
1618	21364	5027
1619	21376	5014
1620	21387	5000
1621	21399	4987
1622	21411	4973
1623	21422	4959
1624	21433	4946
1625	21444	4932
1626	21456	4918
1627	21467	4905
1628	21478	4891
1629	21489	4878
1630	21501	4864
1631	21514	4851
1632	21525	4837
1633	21537	4824
1634	21548	4810
1635	21560	4797
1636	21571	4783
1637	21583	4769
1638	21595	4756
1639	21607	4743
1640	21618	4729
1641	21630	4716
1642	21641	4702
1643	21653	4688
1644	21664	4675
1645	21676	4661
1646	21689	4648
1647	21700	4635
1648	21712	4621
1649	21725	4608
1650	21738	4595
1651	21752	4582
1652	21764	4568
1653	21781	4556
1654	21798	4544
1655	21813	4531
1656	21830	4518
1657	21845	4506
1658	21861	4493
1659	21878	4481
1660	21896	4468
1661	21913	4456
1662	21931	4444
1663	21947	4431
